stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\HENRY\source\repos\Conta-Strike\x64\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.87297]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.87311]  0.000000 0.707107
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.87324] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.87342]  0.141421 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.87356]  0.000000 0.141421
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87517] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87529] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87536] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87546] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87552] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87560] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87570] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87577] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.87582] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.87588] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.87596] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.87605] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.87610] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.88131] Glyph 21: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88153] Locking glyph region: 000002327464C100 0 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88387] Unlocking page: 000002327464C100
font     D                ttf.c:475  cache_glyph                      [   0.88409] Glyph 3 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.88433] Glyph 14: 20x20 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.88440] Locking glyph region: 000002327464C100 24 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.88453] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88466] Glyph 32: 20x18 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.88478] Locking glyph region: 000002327464C100 44 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.88492] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88508] Glyph 23: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88516] Locking glyph region: 000002327464C100 64 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88534] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88546] Glyph 87: 14x27 (16x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88554] Locking glyph region: 000002327464C100 88 0 16 28
font     D                ttf.c:167  unlock_current_page              [   0.88564] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88582] Glyph 68: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.88590] Locking glyph region: 000002327464C100 104 0 24 20
font     D                ttf.c:167  unlock_current_page              [   0.88602] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88612] Glyph 81: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.88621] Locking glyph region: 000002327464C100 128 0 24 20
font     D                ttf.c:167  unlock_current_page              [   0.88636] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88647] Glyph 11: 18x27 (20x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88656] Locking glyph region: 000002327464C100 152 0 20 28
font     D                ttf.c:167  unlock_current_page              [   0.88667] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88681] Glyph 24: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88688] Locking glyph region: 000002327464C100 172 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88705] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88715] Glyph 12: 17x27 (20x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88722] Locking glyph region: 000002327464C100 196 0 20 28
font     D                ttf.c:167  unlock_current_page              [   0.88737] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88754] Glyph 20: 20x27 (20x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88762] Locking glyph region: 000002327464C100 216 0 20 28
font     D                ttf.c:167  unlock_current_page              [   0.88779] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88793] Glyph 27: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88801] Locking glyph region: 000002327464C100 236 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88822] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88838] Glyph 19: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88846] Locking glyph region: 000002327464C100 260 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88855] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88869] Glyph 91: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.88875] Locking glyph region: 000002327464C100 284 0 24 20
font     D                ttf.c:167  unlock_current_page              [   0.88883] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88901] Glyph 22: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88909] Locking glyph region: 000002327464C100 308 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88924] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   0.88934] Glyph 26: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.88940] Locking glyph region: 000002327464C100 332 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.88959] Unlocking page: 000002327464C100
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89169] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89181] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89188] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89195] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89203] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89208] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89213] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89220] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.89226] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.89233] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.89241] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.89248] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.89254] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.89569] Glyph 49: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.89585] Locking glyph region: 0000023274791120 0 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.89805] Unlocking page: 0000023274791120
font     D                ttf.c:243  alloc_glyph_region               [   0.89826] Glyph 48: 26x28 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.89835] Locking glyph region: 0000023274791120 24 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.89846] Unlocking page: 0000023274791120
font     D                ttf.c:243  alloc_glyph_region               [   0.89858] Glyph 47: 23x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.89871] Locking glyph region: 0000023274791120 52 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.89882] Unlocking page: 0000023274791120
font     D                ttf.c:243  alloc_glyph_region               [   0.89892] Glyph 53: 20x28 (20x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.89902] Locking glyph region: 0000023274791120 76 0 20 28
font     D                ttf.c:167  unlock_current_page              [   0.89915] Unlocking page: 0000023274791120
font     D                ttf.c:243  alloc_glyph_region               [   0.89935] Glyph 52: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.89945] Locking glyph region: 0000023274791120 96 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.89964] Unlocking page: 0000023274791120
font     D                ttf.c:243  alloc_glyph_region               [   0.89975] Glyph 27: 10x23 (12x24)
font     D                ttf.c:287  alloc_glyph_region               [   0.89984] Locking glyph region: 0000023274791120 120 0 12 24
font     D                ttf.c:167  unlock_current_page              [   0.89994] Unlocking page: 0000023274791120
font     D                ttf.c:475  cache_glyph                      [   0.90005] Glyph 1 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.90017] Glyph 17: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.90025] Locking glyph region: 0000023274791120 132 0 24 28
font     D                ttf.c:167  unlock_current_page              [   0.90036] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.90247] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.90272] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.90322] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.90344] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.90455] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.90470] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.90491] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.90500] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.90514] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.90525] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.91045] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.91063] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.91186] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.91203] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [   4.65949] Glyph 79: 11x27 (12x28)
font     D                ttf.c:287  alloc_glyph_region               [   4.65968] Locking glyph region: 000002327464C100 356 0 12 28
font     D                ttf.c:167  unlock_current_page              [   4.65980] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   4.65994] Glyph 82: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   4.66003] Locking glyph region: 000002327464C100 368 0 24 20
font     D                ttf.c:167  unlock_current_page              [   4.66034] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   4.66074] Glyph 74: 21x24 (24x24)
font     D                ttf.c:287  alloc_glyph_region               [   4.66083] Locking glyph region: 000002327464C100 392 0 24 24
font     D                ttf.c:167  unlock_current_page              [   4.66096] Unlocking page: 000002327464C100
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.67644] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.67663] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [   5.84360] Glyph 25: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   5.84381] Locking glyph region: 000002327464C100 416 0 24 28
font     D                ttf.c:167  unlock_current_page              [   5.84395] Unlocking page: 000002327464C100
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   5.85988] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   5.86009] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [   6.56088] Glyph 86: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   6.56146] Locking glyph region: 000002327464C100 440 0 24 20
font     D                ttf.c:167  unlock_current_page              [   6.56254] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   6.56354] Glyph 72: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   6.56403] Locking glyph region: 000002327464C100 464 0 24 20
font     D                ttf.c:167  unlock_current_page              [   6.56492] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   6.56549] Glyph 70: 21x20 (24x20)
font     D                ttf.c:287  alloc_glyph_region               [   6.56610] Locking glyph region: 000002327464C100 488 0 24 20
font     D                ttf.c:167  unlock_current_page              [   6.56716] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   6.56797] Glyph 18: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [   6.56839] Locking glyph region: 000002327464C100 0 28 24 28
font     D                ttf.c:167  unlock_current_page              [   6.56923] Unlocking page: 000002327464C100
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.58350] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.58400] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [   7.67648] Glyph 15: 8x14 (8x16)
font     D                ttf.c:287  alloc_glyph_region               [   7.67670] Locking glyph region: 000002327464C100 24 28 8 16
font     D                ttf.c:167  unlock_current_page              [   7.67686] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [   7.69255] Glyph 18: 16x28 (16x28)
font     D                ttf.c:287  alloc_glyph_region               [   7.69270] Locking glyph region: 0000023274791120 156 0 16 28
font     D                ttf.c:167  unlock_current_page              [   7.69283] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.69403] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.69418] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   7.69686] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   7.69701] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  23.14254] Glyph 19: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  23.14272] Locking glyph region: 0000023274791120 172 0 24 28
font     D                ttf.c:167  unlock_current_page              [  23.14284] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  23.14394] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  23.14496] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  25.60941] Glyph 20: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  25.60960] Locking glyph region: 0000023274791120 196 0 24 28
font     D                ttf.c:167  unlock_current_page              [  25.60971] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  25.61070] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  25.61083] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  30.89318] Glyph 21: 23x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  30.89390] Locking glyph region: 0000023274791120 220 0 24 28
font     D                ttf.c:167  unlock_current_page              [  30.90025] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  30.90448] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  30.90518] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  32.12614] Glyph 22: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  32.12673] Locking glyph region: 0000023274791120 244 0 24 28
font     D                ttf.c:167  unlock_current_page              [  32.12705] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  32.13010] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  32.13058] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  33.40960] Glyph 28: 21x27 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  33.41011] Locking glyph region: 000002327464C100 32 28 24 28
font     D                ttf.c:167  unlock_current_page              [  33.41030] Unlocking page: 000002327464C100
font     D                ttf.c:243  alloc_glyph_region               [  33.42620] Glyph 23: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  33.43245] Locking glyph region: 0000023274791120 268 0 24 28
font     D                ttf.c:167  unlock_current_page              [  33.43258] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  33.43317] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  33.43327] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  33.43637] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  33.43856] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  34.44336] Glyph 24: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  34.44354] Locking glyph region: 0000023274791120 292 0 24 28
font     D                ttf.c:167  unlock_current_page              [  34.44388] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  34.44453] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  34.44464] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  37.64267] Glyph 25: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  37.64295] Locking glyph region: 0000023274791120 316 0 24 28
font     D                ttf.c:167  unlock_current_page              [  37.64380] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  37.64484] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  37.64499] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  59.04256] Glyph 26: 21x28 (24x28)
font     D                ttf.c:287  alloc_glyph_region               [  59.04277] Locking glyph region: 0000023274791120 340 0 24 28
font     D                ttf.c:167  unlock_current_page              [  59.04289] Unlocking page: 0000023274791120
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  59.04382] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  59.04394] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46709] removed dtor for sample_instance 000002326DA2D600
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46732] removed dtor for sample_instance 000002326DA351C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46743] removed dtor for sample_instance 000002326DA3F5C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46757] removed dtor for sample_instance 000002326DA3F980
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46778] removed dtor for sample_instance 000002326DA402C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46816] removed dtor for sample_instance 000002326DA41DF0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46827] removed dtor for sample_instance 000002326DA414C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46835] removed dtor for sample_instance 000002326DA41CA0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46842] removed dtor for sample_instance 000002326DA41F40
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46850] removed dtor for sample_instance 000002326DA41A00
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46859] removed dtor for sample_instance 000002326DA41610
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46865] removed dtor for sample_instance 000002326DA42090
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46873] removed dtor for sample_instance 000002326DA421E0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46881] removed dtor for sample_instance 000002326DA41760
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46890] removed dtor for sample_instance 000002326DA418B0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46898] removed dtor for sample_instance 000002326DA41B50
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.46907] removed dtor for mixer 000002326DA1E590
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [  99.46916] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [  99.46922] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [  99.47259] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [  99.47270] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [  99.47277] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [  99.47286] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [  99.47293] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.47303] removed dtor for voice 000002326DA02060
audio-dsound D           dsound.cpp:391  _dsound_deallocate_voice         [  99.47312] Deallocating voice
audio-dsound D           dsound.cpp:396  _dsound_deallocate_voice         [  99.47321] Deallocated voice
dtor     D               dtor.c:116  _al_run_destructors              [  99.47329] calling dtor for sample 00000232746439C0, func 00007FFD70491528
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.47336] removed dtor for sample 00000232746439C0
dtor     D               dtor.c:116  _al_run_destructors              [  99.48150] calling dtor for sample 0000023274643170, func 00007FFD70491528
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.48169] removed dtor for sample 0000023274643170
audio-dsound D           dsound.cpp:304  _dsound_close                    [  99.48188] Releasing device
audio-dsound D           dsound.cpp:309  _dsound_close                    [  99.48640] Released device
audio-dsound I           dsound.cpp:310  _dsound_close                    [  99.48654] DirectSound closed
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.48662] removed dtor for ttf_font 0000023274643090
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.48679] removed dtor for ttf_font 0000023274748A00
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.48725] removed dtor for timer 000002326FA366C0
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.48740] removed dtor for queue 000002326FC1C120
d3d      I         d3d_disp.cpp:910  d3d_destroy_display              [  99.48761] destroying display 000002326F9BE020 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.49098] converting display bitmap 000002327464C100 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.49153] added dtor for bitmap 000002326DA0D0D0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.49169] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.49179] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.49372] removed dtor for bitmap 000002326DA0D0D0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.49426] converting display bitmap 0000023274855400 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.49558] added dtor for bitmap 000002326DA0D0D0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.49581] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.49590] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.50094] removed dtor for bitmap 000002326DA0D0D0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.50193] converting display bitmap 00000232746B8DF0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.50223] added dtor for bitmap 000002326DA0D0D0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.50236] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.50244] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.50323] removed dtor for bitmap 000002326DA0D0D0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.50335] converting display bitmap 00000232746698B0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.50343] added dtor for bitmap 000002326DA0D0D0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.50352] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.50368] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.50438] removed dtor for bitmap 000002326DA0D0D0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.50449] converting display bitmap 00000232746694C0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.50467] added dtor for bitmap 000002326DA0D0D0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.50477] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  99.50484] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  99.50583] removed dtor for bitmap 000002326DA0D0D0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  99.50622] converting display bitmap 00000232746696C0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  99.50634] added dtor for bitmap 000002326F9952B0, func 00007FFD2F911190
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  99.50642] _al_d3d_sync_bitmap (system) ref count == 1
